lat,long,no__laporan
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.114384,106.96027,18
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22347,106.8614,17
-6.22345,106.8613,17
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22356,106.8614,16
-6.22359,106.8614,15
-6.22357,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.22348,106.8614,15
-6.2234,106.8614,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.179361,106.78854,14
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22354,106.8615,13
-6.22355,106.8614,13
-6.214635,106.769341,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22354,106.8614,12
-6.22369,106.8614,11
-6.22342,106.8614,10
-6.2234,106.8613,10
-6.22352,106.8613,10
-6.22346,106.8613,10
-6.22342,106.8613,10
-6.2235,106.8615,10
-6.141197,106.835508,10
-6.312782,106.868805,9
-6.290542,106.81292,9
-6.172268,106.783066,9
-6.22343,106.8614,9
-6.238318,106.77326,9
-6.22339,106.8614,8
-6.22354,106.8613,8
-6.22364,106.8614,8
-6.22353,106.8614,8
-6.216031,106.770556,8
-6.190319,106.817154,8
-6.22333,106.8613,8
-6.22351,106.8614,7
-6.22343,106.8613,7
-6.22362,106.8614,7
-6.298813,106.82125,7
-6.2236,106.8614,7
-6.325479,106.836914,7
-6.22365,106.8614,7
-6.165462,106.81537,6
-6.187362,106.803345,6
-6.234221,106.80459,6
-6.195144,106.77218,6
-6.141412,106.73538,6
-6.19206,106.755788,6
-6.221285,106.85827,5
-6.114778,106.774179,5
-6.22364,106.8615,5
-6.22363,106.8614,5
-6.22366,106.8614,5
-6.22358,106.8615,5
-6.159398,106.78574,5
-6.22367,106.8614,5
-6.22375,106.8615,5
-6.23158,106.829544,5
-6.25041,106.8677,5
-6.22353,106.8613,5
-6.172819,106.78327,5
-6.130875,106.88657,4
-6.140755,106.835659,4
-6.25,106.8683,4
-6.173762,106.78315,4
-6.174889,106.81648,4
-6.229535,106.75118,4
-6.205125,106.95296,4
-6.25039,106.8677,4
-6.115471,106.87597,4
-6.29499,106.90269,4
-6.175886,106.87172,4
-6.22359,106.8615,4
-6.194009,106.80135,4
-6.175382,106.820262,4
-6.116859,106.85491,4
-6.261671,106.8044,4
-6.348253,106.82449,4
-6.22345,106.8615,4
-6.279085,106.86106,4
-6.148611,106.776111,4
-6.25011,106.8681,4
-6.163378,106.80467,4
-6.24998,106.8683,4
-6.2504,106.8677,4
-6.326013,106.8755,4
-6.173797,106.783791,4
-6.136885,106.81571,4
-6.168037,106.8627,4
-6.335236,106.85319,4
-6.184184,106.755597,3
-6.24564,106.778046,3
-6.25044,106.8677,3
-6.289934,106.83918,3
-6.22357,106.8613,3
-6.12999,106.9192,3
-6.1298,106.9209,3
-6.357064,106.88222,3
-6.203686,106.85901,3
